"","BL11","BL12","BL21","BL22","CF11","CF12","CF21","CF22","POOL1","POOL2","POOL3","POOL4","S111","S112","S121","S122","S711","S712","S721","S722"
"tr|A0A140NDH6|A0A140NDH6_ECOBD",85362.2835201848,63162.6509214188,59306.6470784262,68069.6831519555,101439.607492433,83575.4132650025,59193.5622204181,109168.053579663,73883.4464552434,71818.7528761531,69063.0752147111,76639.1241166854,80700.3796358138,65060.94204742,76659.655049541,62396.1868059428,71466.9716426982,55247.7199882379,93320.6488944422,45641.7889490727
"tr|A0A140NDH7|A0A140NDH7_ECOBD",1916045.7185428,1944999.21152385,1839569.12388874,1932611.55130712,1583669.06776764,1648952.08677326,1531924.7804638,1632341.16498723,1583822.21764332,1597406.47620213,1592401.80434061,1588826.88950484,1133493.67201422,1329339.28990961,1262740.10608587,1305763.90924643,1346996.64189886,1464556.85831383,1419596.91575696,1283852.15546875
"tr|A0A140NDI1|A0A140NDI1_ECOBD",500930.527261689,433678.458515813,429578.358025171,480347.269787093,548173.537531665,457690.074523392,442495.028792871,473672.647233923,448372.239747427,464632.886618207,465722.574138276,447282.552227358,467537.970152892,440431.660842247,435957.57462717,430490.246985418,388202.305468275,503809.299859148,439592.91647366,364794.521032326
"tr|A0A140NDI2|A0A140NDI2_ECOBD",177259031.063714,173892673.620427,202128197.674485,214420256.317953,80096090.7646692,76971746.226623,91654949.1771532,88439255.9645761,101215383.011936,99026774.936798,101255689.802032,98986468.1467018,42745732.3296307,56872643.2830581,48949911.6996311,52012136.7147685,43673828.0415852,50899398.2440476,54704999.7403968,38298786.5260913
"tr|A0A140NDI4|A0A140NDI4_ECOBD",27039539.7115629,29040308.296547,27598497.4345841,28295958.4065904,29029201.1817805,28491780.9477364,31071951.373965,30452456.6136505,25174793.5629067,24996426.2797617,24942982.212083,25228237.6305854,19107589.5284576,21076991.3048591,21989077.7768512,22194735.3804311,19477915.1205722,20902643.6093819,19783498.0293086,19303344.4932282
"tr|A0A140NDI8|A0A140NDI8_ECOBD",156056.77975209,166947.548214573,157375.806692014,160591.875292759,190442.734157505,169401.914730103,172566.465584828,165330.139402268,152088.465342146,154803.669868075,153867.927440905,153024.207769315,127335.762455338,136583.122877935,127638.855030187,127210.910563193,132795.672930377,138483.771181151,139109.97835492,126119.641510739
"tr|A0A140NDI9|A0A140NDI9_ECOBD",3700668.08660885,3461380.63030904,3668909.22777643,3823830.11047546,4107311.6575417,4057402.02492236,4362949.22639304,4312438.27404741,3701412.23192817,3746785.99611803,3749343.14299496,3698855.08505124,3633728.42782714,4002792.92075038,3806407.06391279,3754255.02610183,3423083.83962242,3454919.46204008,3568741.5539296,3305938.23833166
"tr|A0A140NDJ4|A0A140NDJ4_ECOBD",5983363.55497501,5689287.40757986,5269487.81521592,5063649.32453021,5592220.36302106,5159157.32155249,5168386.23762084,4841122.69290574,5226081.59268738,5431913.02426375,5222731.54903387,5435263.06791726,5104126.00129793,5232321.99781666,5359092.71396538,5134140.50304081,5505423.70516934,5409070.64131444,5356973.86070834,5395354.55056049
"tr|A0A140NDK0|A0A140NDK0_ECOBD",195780.086702945,205502.246339187,188510.139897444,189258.504682481,175887.314332544,147472.971752566,179664.540109824,187897.739096344,166569.670755177,174275.386313254,172970.913981722,167874.14308671,174536.935129234,135968.386877565,164526.295396955,122874.136107158,149846.322869916,141209.612145591,162096.538195325,142811.716972178
"tr|A0A140NDK1|A0A140NDK1_ECOBD",9062516.31439443,8905644.87351506,7869806.63797498,8200112.31750028,8094174.13018993,8367459.4577941,7715728.86396273,7885649.86224908,8933029.52996109,9175123.56171106,8975967.68055491,9132185.41111725,9360840.93696195,9769658.97472262,10030211.6510166,10687626.1611036,9076850.57195821,9663441.09257792,9998215.9161148,9678719.82956478
